Transaction time,Type,Transaction object,Amount (RMB)
2024/3/14 17:43,Living,BUPT,гд200.00
2024/3/14 17:42,Catering,BUPT,гд11.00
2024/3/13 9:54,Catering,Meituan,гд30.60
2024/3/12 18:28,Living,Yihui,гд14.50
2024/3/12 17:54,Catering,Jinguyuan Dumpling,гд77.00
2024/3/12 12:23,Living,Weizhen,гд0.30
2024/3/12 11:06,Catering,Meituan,гд40.36
2024/3/11 23:11,Shopping,DMALL,гд3.80
2024/3/11 10:55,Contingency,Hospital,гд1.00
2024/3/10 23:19,Shopping,DMALL,гд9.90
2024/3/10 12:23,Shopping,Fruit shop,гд10.00
2024/3/9 16:58,Shopping,PDD,гд1.68
2024/3/8 16:46,Entertainment,Red packets,гд41.00
2024/3/8 15:36,Shopping,Fruit shop,гд10.00
2024/3/8 15:34,Living,Huiguan,гд10.00
2024/3/7 17:59,Shopping,JD,гд119.00
2024/3/7 16:53,Catering,McDonald's,гд13.90
2024/3/7 13:03,Contingency,Hospital,гд50.00
2024/3/6 18:17,Shopping,Fruit shop,гд14.70
2024/3/5 18:56,Shopping,Fruit shop,гд11.50
2024/3/4 18:25,Living,BUPT,гд200.00
2024/3/4 12:49,Shopping,DMALL,гд5.00
2024/3/2 19:39,Shopping,Luxihe,гд21.90
2024/3/1 19:47,Catering,Meituan,гд26.78
2024/3/1 19:40,Catering,Meituan,гд24.28
2024/3/1 8:40,Income,ICBC,"гд8,000"
